Date,Open,High,Low,Close,Adj Close,Volume
12/11/2018,2201.10,2276.60,2180.00,2264.06,2033.46,611520
12/12/2018,2264.06,2385.00,2264.06,2372.20,2130.59,668060
12/13/2018,2380.00,2412.50,2320.00,2330.54,2093.17,1087130
12/14/2018,2335.00,2380.00,2315.07,2371.61,2130.06,767570
12/17/2018,2395.10,2395.10,2355.00,2369.78,2128.41,442650
12/18/2018,2357.00,2390.00,2334.40,2386.56,2143.49,614160
12/19/2018,2386.56,2422.00,2380.80,2395.57,2151.58,490790
12/20/2018,2380.00,2417.80,2370.01,2409.20,2163.82,501230
12/21/2018,2414.60,2419.00,2341.11,2359.76,2119.42,579890
12/24/2018,2348.00,2357.50,2311.92,2321.07,2084.67,346870
12/26/2018,2310.00,2345.00,2270.00,2308.14,2073.05,550490
12/27/2018,2330.00,2338.30,2288.79,2299.45,2065.25,474780
12/28/2018,2301.10,2331.00,2299.50,2312.41,2076.89,373040
12/31/2018,2335.00,2339.00,2300.77,2315.83,2079.96,431030
1/1/2019,2316.23,2329.30,2290.50,2319.51,2083.26,444340
1/2/2019,2234.00,2234.00,2095.02,2116.23,1900.69,4814970
1/3/2019,2104.00,2104.00,2015.10,2021.15,1815.29,4683010
1/4/2019,2032.50,2064.80,2000.10,2010.36,1805.60,3418330
1/7/2019,2045.00,2047.70,1975.50,1983.04,1781.06,2156680
1/8/2019,1985.50,2063.00,1978.50,2004.46,1800.31,3664290
1/9/2019,1989.00,2039.78,1985.00,2029.10,1822.44,1637520
1/10/2019,2036.00,2060.00,2034.51,2055.61,1846.24,1021430
1/11/2019,2060.00,2076.73,2038.70,2050.76,1841.89,1122200
1/14/2019,2062.80,2062.92,2022.20,2048.04,1839.44,701210
1/15/2019,2054.00,2067.00,2048.00,2063.81,1853.61,633190
1/16/2019,2062.60,2078.40,2062.60,2073.57,1862.37,674680
1/17/2019,2080.00,2084.77,2016.05,2036.99,1829.52,1037770
1/18/2019,2040.00,2042.50,1995.00,2012.28,1807.32,1081400
1/21/2019,2015.10,2029.80,1994.97,2002.80,1798.81,950380
1/22/2019,2000.10,2035.00,1990.00,2002.36,1798.42,1378300
1/23/2019,2007.70,2022.30,1999.10,2008.92,1804.30,535950
1/24/2019,2015.00,2033.00,2007.50,2011.56,1806.68,457230
1/25/2019,2020.00,2033.78,1983.51,2004.99,1800.78,671890
1/28/2019,2006.10,2024.10,1987.16,1998.74,1795.17,1019070
1/29/2019,1999.90,2000.00,1880.00,1887.72,1695.46,1931980
1/30/2019,1890.00,1909.49,1880.00,1891.92,1699.22,1026320
1/31/2019,1912.00,1917.90,1883.61,1900.57,1707.00,675110
2/1/2019,1909.00,2014.47,1907.60,1966.34,1766.07,1857170
2/4/2019,1972.00,2043.19,1943.50,2012.83,1807.82,1621290
2/5/2019,2016.10,2058.49,2016.00,2047.96,1839.38,1018700
2/6/2019,2052.97,2120.00,2052.97,2110.43,1895.48,1297160
2/7/2019,2123.49,2196.50,2115.07,2190.42,1967.32,1352940
